ENA_sample,phenotype,strain
ERR4553381,fumarate_producer,parental
ERR4553382,fumarate_producer,parental
ERR4553383,fumarate_producer,parental
ERR4553384,malate_producer,parental
ERR4553385,malate_producer,parental
ERR4553386,malate_producer,parental
ERR4553387,succinate_producer,parental
ERR4553388,succinate_producer,parental
ERR4553389,fumarate_producer,evolved
ERR4553390,fumarate_producer,evolved
ERR4553391,fumarate_producer,evolved
ERR4553392,malate_producer,evolved
ERR4553393,malate_producer,evolved
ERR4553394,malate_producer,evolved
ERR4553395,succinate_producer,evolved
ERR4553396,succinate_producer,evolved
ERR4553397,succinate_producer,evolved
ERR4553398,wild_type,wild_type
ERR4553399,wild_type,wild_type
ERR4553400,wild_type,wild_type